Fake_Student_ID,Race,Ethnicity,Sex,LEP,HomeLanguage,SpEdFlag,TAGFlag,Econ_Disadvantage,Migrant,DyslexiaFlag
2115893,White,N,F,F,English,F,T,F,N,F
5090051,Hispanic,H,M,T,English,F,F,T,N,F
8221829,Hispanic,H,F,T,Spanish,F,F,T,N,F
8261570,Black or African American,N,F,F,English,F,F,T,N,F
8298452,Hispanic,H,M,T,Spanish,T,F,F,N,F
8310104,Hispanic,H,F,T,Spanish,T,F,T,N,F
8343848,Hispanic,H,F,T,Spanish,T,F,T,N,F
8355935,Hispanic,H,M,F,Spanish,T,F,T,N,F
8368385,Hispanic,H,F,F,Spanish,T,F,T,N,F
8373233,Hispanic,H,M,T,Spanish,F,F,T,N,F
8387570,Hispanic,H,M,F,Spanish,T,F,T,N,F
8411036,Hispanic,H,M,T,Spanish,T,F,T,N,F
8444711,Hispanic,H,F,T,Spanish,T,F,T,N,F
8445011,Black or African American,N,F,F,English,F,T,T,N,F
8446451,Hispanic,H,F,F,Spanish,T,F,T,N,F
8462150,Hispanic,H,M,F,English,T,F,F,N,F
8464013,Hispanic,H,F,T,Spanish,T,F,T,N,F
8466959,Hispanic,H,M,T,Spanish,T,F,T,N,F
8467223,Black or African American,N,M,F,English,F,F,T,N,F
8467226,Hispanic,H,M,F,English,F,T,T,N,F
8467469,Black or African American,N,M,F,English,F,F,T,N,F
8470502,Black or African American,N,M,F,English,T,F,T,N,F
8471327,Hispanic,H,F,F,English,F,F,F,N,F
8476964,Hispanic,H,M,F,Spanish,T,F,T,N,F
8479799,Hispanic,H,M,F,English,T,F,F,N,F
8479811,Hispanic,H,M,F,English,T,F,T,N,F
8480762,Hispanic,H,M,F,English,F,F,F,N,F
8482484,Hispanic,H,F,T,Spanish,T,F,T,N,F
8483309,Hispanic,H,M,T,Spanish,F,F,T,N,F
8483420,White,N,F,F,English,F,F,T,N,T
8484623,Hispanic,H,F,T,Spanish,F,F,T,N,F
8485907,Black or African American,N,M,F,English,F,F,F,N,F
8487182,Hispanic,H,M,T,Spanish,T,F,T,N,F
8487473,Hispanic,H,M,T,Spanish,F,F,T,N,F
8487482,Hispanic,H,M,F,English,T,F,F,N,F
8488079,Hispanic,H,M,F,English,T,F,F,N,F
8489366,Black or African American,N,M,F,English,T,F,T,N,F
8490020,Hispanic,H,M,F,English,F,F,F,N,F
8492057,Hispanic,H,M,T,Spanish,T,T,T,N,F
8492369,Asian,N,M,F,English,T,T,F,N,F
8492675,Hispanic,H,F,F,English,T,F,T,N,F
8492918,Hispanic,H,M,F,English,T,F,T,N,F
8493479,Hispanic,H,M,T,Spanish,T,F,T,N,T
8493518,Black or African American,N,M,F,English,F,F,T,N,F
8493569,Hispanic,H,F,T,Spanish,F,T,T,N,F
8493587,Hispanic,H,M,F,English,T,F,T,N,F
8493716,Hispanic,H,F,T,Spanish,T,T,T,N,F
8493962,Hispanic,H,M,T,Spanish,T,F,T,N,F
8493992,Hispanic,H,F,F,English,F,F,T,N,F
8494157,White,N,M,F,English,F,T,F,N,F
8494307,Black or African American,N,M,F,English,T,F,T,N,F
8494355,Hispanic,H,F,T,Spanish,T,F,T,N,T
8494427,M Multi-Racial,N,F,F,English,T,F,F,N,F
8494496,Hispanic,H,M,F,Spanish,T,F,T,N,F
8494619,Hispanic,H,M,T,Spanish,F,T,T,N,F
8494730,Hispanic,H,M,F,English,T,F,T,N,F
8495669,Hispanic,H,M,T,Spanish,T,T,T,N,F
8496728,Hispanic,H,F,F,Spanish,T,F,F,N,F
8498720,Hispanic,H,M,T,Spanish,T,F,T,N,F
8500808,Hispanic,H,M,F,English,T,F,T,N,F
8500901,Black or African American,N,M,F,English,T,F,T,N,F
8509064,Hispanic,H,M,T,Spanish,F,F,T,N,F
8517449,Black or African American,N,F,F,English,F,F,T,N,F
8518994,Hispanic,H,M,T,Spanish,F,F,T,N,F
8520092,Hispanic,H,F,T,Spanish,T,F,T,N,F
8520929,Hispanic,H,M,F,English,F,F,T,N,F
8523059,Black or African American,N,F,F,English,F,F,F,N,F
8524001,Hispanic,H,M,T,Spanish,F,F,T,N,F
8524043,Hispanic,H,M,T,Spanish,F,F,T,N,F
8525552,Black or African American,N,M,F,English,T,F,F,N,F
8526335,Hispanic,H,M,T,Spanish,T,F,T,N,F
8526602,Black or African American,N,M,F,English,F,F,T,N,F
8527502,Hispanic,H,M,T,Spanish,F,F,T,N,F
8527898,Hispanic,H,M,T,Spanish,F,F,T,N,F
8528051,Hispanic,H,M,F,English,F,F,T,N,F
8528270,Black or African American,N,M,F,English,F,F,T,N,F
8528936,Hispanic,H,M,T,Spanish,T,F,F,N,F
8529740,Black or African American,N,M,F,English,T,F,T,N,F
8530676,Hispanic,H,M,F,Spanish,T,F,T,N,F
8530685,Hispanic,H,M,T,Spanish,F,T,T,N,F
8531108,Hispanic,H,M,F,English,T,F,F,N,F
8531384,Black or African American,N,M,F,English,T,F,F,N,T
8531549,Hispanic,H,M,T,Spanish,F,F,T,N,F
8532086,Hispanic,H,F,T,Spanish,T,F,T,N,F
8532089,Hispanic,H,M,T,Spanish,F,F,T,N,F
8532317,Black or African American,N,F,F,English,F,F,T,N,T
8532365,Hispanic,H,M,T,Spanish,F,T,T,N,F
8532386,Hispanic,H,M,F,Spanish,T,F,T,N,F
8532692,Hispanic,H,M,T,Spanish,T,F,T,N,F
8533373,White,N,M,F,English,T,F,F,N,F
8533922,Hispanic,H,M,T,Spanish,F,F,T,N,F
8533970,Hispanic,H,F,F,Spanish,T,F,T,N,F
8534255,Black or African American,N,M,F,English,T,F,T,N,F
8534339,Hispanic,H,M,F,English,T,F,F,N,F
8534522,Hispanic,H,F,T,Spanish,T,F,T,N,F
8534540,Hispanic,H,F,F,English,F,F,T,N,T
8535311,Hispanic,H,M,F,Spanish,T,F,T,N,F
8535320,Hispanic,H,M,T,Spanish,T,F,T,N,F
8535344,Hispanic,H,M,T,Spanish,F,F,T,N,T
8536031,Hispanic,H,F,F,English,F,F,T,N,F
8536034,Black or African American,N,M,F,English,T,F,T,N,F
8536571,Hispanic,H,M,T,Spanish,T,T,T,N,F
8537366,Hispanic,H,M,T,Spanish,T,F,T,N,F
8537390,Black or African American,N,F,F,English,F,F,T,N,F
8537603,Hispanic,H,M,F,English,F,F,T,N,F
8537825,M Multi-Racial,N,M,F,English,T,F,T,N,F
8537834,Hispanic,H,M,F,Spanish,T,F,T,N,F
8537849,Hispanic,H,M,F,English,F,F,T,N,F
8537990,Black or African American,N,M,F,English,F,F,F,N,F
8538143,Hispanic,H,M,T,Spanish,T,F,T,N,F
8538854,Hispanic,H,M,T,Spanish,F,F,T,N,F
8538869,Hispanic,H,F,F,English,F,F,F,N,F
8540102,Hispanic,H,M,F,English,F,F,T,N,F
8540192,Hispanic,H,M,T,Spanish,F,T,T,N,F
8540195,Hispanic,H,M,T,Spanish,F,F,T,N,F
8540270,Black or African American,N,M,F,English,T,F,T,N,F
8541158,White,N,M,F,Spanish,F,T,F,N,F
8541203,Black or African American,N,F,F,English,F,F,T,N,F
8541212,Hispanic,H,M,F,English,F,F,T,N,F
8541215,Hispanic,H,M,F,English,T,F,T,N,F
8541494,Hispanic,H,M,T,Spanish,T,F,T,N,F
8542028,Hispanic,H,F,T,Spanish,F,F,T,N,F
8543360,Hispanic,H,F,T,Spanish,F,F,T,N,F
8543576,Black or African American,N,M,F,English,T,F,T,N,F
8543894,Black or African American,N,M,F,English,T,F,T,N,F
8543903,Black or African American,N,M,F,English,T,F,T,N,F
8544038,Hispanic,H,M,T,Spanish,T,F,T,N,F
8544041,Black or African American,N,M,F,English,T,F,T,N,F
8544080,White,N,F,F,English,F,F,T,N,F
8544098,Hispanic,H,M,T,Spanish,F,F,T,N,F
8544284,Black or African American,N,M,F,English,T,F,F,N,F
8544287,Hispanic,H,M,F,English,F,F,T,N,F
8544317,Hispanic,H,F,F,Spanish,T,F,T,N,F
8544350,Hispanic,H,M,T,English,T,F,T,N,T
8544446,Hispanic,H,F,T,Spanish,F,F,T,N,F
8544863,Hispanic,H,M,T,Spanish,T,F,T,N,F
8544989,Black or African American,N,M,F,English,T,F,F,N,F
8545106,Hispanic,H,M,F,English,T,T,T,N,F
8546102,Hispanic,H,M,F,Spanish,T,F,T,N,F
8546147,Hispanic,H,F,F,Spanish,T,F,T,N,F
8546345,Black or African American,N,M,F,English,T,F,T,N,F
8546354,White,N,M,F,English,T,F,F,N,F
8546666,Black or African American,N,M,F,English,F,T,T,N,F
8547173,Hispanic,H,M,F,English,T,F,T,N,T
8547431,Black or African American,N,M,F,English,T,F,T,N,F
8547728,Black or African American,N,F,F,English,T,F,F,N,F
8548550,Hispanic,H,M,T,Spanish,T,F,F,N,F
8548979,Hispanic,H,F,T,Spanish,F,F,T,N,F
8549330,Black or African American,N,M,F,English,F,F,T,N,F
8550848,Hispanic,H,M,F,English,T,F,T,N,F
8551073,Hispanic,H,M,T,Spanish,F,F,T,N,F
8551082,Black or African American,N,M,F,English,F,F,T,N,F
8551085,Hispanic,H,F,T,Spanish,F,F,T,N,F
8551283,Black or African American,N,F,F,English,T,F,F,N,F
8551301,Black or African American,N,M,F,English,F,F,T,N,F
8551361,Black or African American,N,F,F,English,F,F,T,N,F
8551457,Hispanic,H,F,T,Spanish,T,F,T,N,F
8551640,M Multi-Racial,N,F,F,English,F,F,F,N,F
8552231,Hispanic,H,F,T,Spanish,F,F,T,N,F
8552402,Hispanic,H,F,T,Spanish,T,F,T,N,F
8552417,Black or African American,N,M,F,English,F,T,T,N,F
8552447,Hispanic,H,M,F,English,F,F,T,N,F
8552756,Hispanic,H,F,T,Spanish,F,T,T,N,F
8553320,Black or African American,N,M,F,English,F,T,T,N,F
8553383,Hispanic,H,M,T,Spanish,T,F,T,N,F
8553704,Hispanic,H,M,T,Spanish,T,F,T,N,F
8553830,Black or African American,N,F,F,English,F,F,T,N,F
8554166,Hispanic,H,M,F,English,T,F,T,N,F
8554181,Hispanic,H,M,T,Spanish,F,F,T,N,F
8554358,Hispanic,H,F,T,Spanish,F,F,T,N,F
8554565,Hispanic,H,M,F,English,T,F,T,N,F
8554622,Hispanic,H,F,T,Spanish,T,F,T,N,F
8554877,M Multi-Racial,N,M,F,English,F,T,F,N,F
8554949,White,N,F,F,English,T,F,F,N,F
8555129,Hispanic,H,F,T,Spanish,T,F,T,N,F
8555288,Black or African American,N,F,F,English,T,F,T,N,F
8555303,Hispanic,H,M,T,Spanish,T,F,T,N,F
8555483,Hispanic,H,M,T,Spanish,T,F,T,N,F
8555624,Hispanic,H,F,T,Spanish,T,F,T,N,F
8555699,Hispanic,H,M,T,Spanish,T,T,F,N,F
8555738,Hispanic,H,M,F,English,T,F,T,N,F
8555741,White,N,M,F,English,T,F,T,N,F
8555753,Hispanic,H,M,T,Spanish,F,F,T,N,F
8556041,Hispanic,H,F,F,English,T,F,F,N,F
8556335,Hispanic,H,M,T,Spanish,F,F,T,N,F
8556353,Hispanic,H,M,F,English,T,F,F,N,F
8556536,Black or African American,N,F,F,English,T,F,T,N,F
8556608,Black or African American,N,M,F,English,F,F,T,N,F
8556623,Hispanic,H,M,F,English,T,F,T,N,F
8556692,Hispanic,H,F,T,Spanish,F,F,T,N,F
8556734,Hispanic,H,M,T,Spanish,T,F,T,N,F
8556974,White,N,M,F,English,F,T,F,N,T
8556977,Hispanic,H,F,T,Spanish,F,F,T,N,F
8556992,Hispanic,H,M,T,Spanish,T,F,T,N,F
8557013,Hispanic,H,M,T,Spanish,T,F,T,N,F
8557163,Hispanic,H,F,F,English,F,F,F,N,F
8557505,Hispanic,H,M,F,English,T,F,F,N,F
8557511,M Multi-Racial,N,F,F,English,T,F,T,N,T
8557955,Hispanic,H,M,T,Spanish,T,F,T,N,F
8557994,Hispanic,H,M,T,Spanish,F,F,T,N,F
8558012,Hispanic,H,F,T,Spanish,T,F,T,N,F
8558021,Hispanic,H,M,T,Spanish,T,T,T,N,F
8558024,Hispanic,H,M,T,Spanish,F,F,T,N,F
8558090,Hispanic,H,F,T,Spanish,F,F,T,N,F
8558255,Hispanic,H,M,T,Spanish,F,F,T,N,F
8558300,Hispanic,H,M,F,Spanish,T,F,T,N,F
8558444,Hispanic,H,M,F,English,T,F,T,N,F
8558744,Hispanic,H,M,T,Spanish,F,F,T,N,F
8559026,Hispanic,H,M,T,Spanish,T,F,T,N,F
8559221,Hispanic,H,F,F,English,F,F,T,N,T
8559464,Hispanic,H,M,F,Spanish,T,F,T,N,F
8559527,Hispanic,H,M,F,Spanish,T,F,T,N,F
8559530,Hispanic,H,F,T,Spanish,F,F,T,N,F
8559533,Hispanic,H,M,T,Spanish,T,T,T,N,F
8559551,Hispanic,H,M,F,Spanish,T,F,T,N,F
8559563,Hispanic,H,M,T,Spanish,F,F,T,N,F
8559578,Hispanic,H,F,T,Spanish,F,F,T,N,F
8559602,Hispanic,H,M,T,Spanish,T,F,T,N,F
8559605,Hispanic,H,M,T,Spanish,T,F,T,N,F
8559725,Hispanic,H,M,T,Spanish,F,F,T,N,F
8559728,Hispanic,H,M,T,Spanish,F,F,T,N,F
8559800,Hispanic,H,F,T,Spanish,F,F,T,N,F
8559809,Hispanic,H,M,T,Spanish,F,T,F,N,F
8559863,Hispanic,H,M,F,English,T,F,F,N,F
8559920,Hispanic,H,M,F,English,T,F,T,N,F
8559968,Hispanic,H,F,T,Spanish,F,F,T,N,T
8560133,Hispanic,H,M,T,Spanish,F,T,T,N,F
8560292,Hispanic,H,M,T,Spanish,F,F,T,N,F
8560310,Hispanic,H,M,T,Spanish,F,T,T,N,F
8560331,Hispanic,H,F,F,English,F,T,T,N,F
8560406,Hispanic,H,M,T,Spanish,F,T,T,N,F
8560637,Hispanic,H,F,F,English,F,F,T,N,F
8560718,Hispanic,H,M,T,Spanish,F,F,T,N,F
8560745,Hispanic,H,M,F,Spanish,F,T,T,N,F
8560763,Hispanic,H,M,F,English,F,F,F,N,F
8560841,Hispanic,H,M,T,Spanish,F,T,T,N,F
8560856,Hispanic,H,M,F,English,F,T,T,N,F
8560877,Hispanic,H,M,T,Spanish,F,F,T,N,F
8560898,Hispanic,H,M,T,English,F,F,T,N,F
8560910,Hispanic,H,M,T,Spanish,F,F,T,N,F
8560925,Hispanic,H,F,F,English,F,F,T,N,F
8560958,Hispanic,H,F,T,Spanish,F,F,T,N,F
8561048,Hispanic,H,M,F,English,F,F,T,N,F
8561078,Hispanic,H,M,T,Spanish,F,T,T,N,F
8561177,Hispanic,H,M,T,Spanish,F,T,T,N,F
8561300,Hispanic,H,M,T,Spanish,F,F,T,N,F
8561306,Hispanic,H,M,F,English,F,F,T,N,F
8561351,Hispanic,H,F,T,Spanish,F,F,T,N,F
8561405,Hispanic,H,F,T,Spanish,F,F,T,N,F
8561432,Black or African American,N,F,F,English,F,F,T,N,F
8561453,Black or African American,N,M,F,English,F,F,T,N,F
8561459,Hispanic,H,F,T,Spanish,F,F,T,N,F
8561474,Hispanic,H,M,T,Spanish,F,F,T,N,F
8561516,Hispanic,H,M,T,Spanish,F,F,F,N,F
8561621,Hispanic,H,F,F,English,F,F,T,N,F
8561648,Black or African American,N,F,F,English,F,F,T,N,F
8561708,Hispanic,H,F,T,Spanish,T,F,T,N,T
8561798,Hispanic,H,M,T,Spanish,F,F,T,N,F
8561819,Hispanic,H,F,T,Spanish,F,F,T,N,F
8561825,White,N,F,T,Spanish,F,F,T,N,F
8561990,Hispanic,H,F,T,Spanish,F,F,T,N,F
8562029,Hispanic,H,M,T,Spanish,F,T,T,N,F
8562197,Hispanic,H,F,T,Spanish,F,F,T,N,F
8562266,Hispanic,H,M,T,Spanish,F,F,T,N,F
8562344,Hispanic,H,F,T,Spanish,F,T,T,N,F
8562407,Hispanic,H,F,T,Spanish,F,F,T,N,F
8562449,White,N,M,F,English,F,F,T,N,F
8562569,Hispanic,H,M,T,Spanish,T,F,T,N,F
8562581,Hispanic,H,F,T,Spanish,F,F,T,N,F
8562620,Hispanic,H,F,T,Spanish,F,F,T,N,T
8562674,Hispanic,H,M,T,Spanish,F,F,T,N,F
8562689,White,N,M,F,English,F,F,T,N,F
8562716,Hispanic,H,F,T,Spanish,F,T,T,N,F
8562755,Hispanic,H,M,T,Spanish,F,F,F,N,T
8562764,White,N,M,F,English,F,F,T,N,T
8562770,Hispanic,H,F,T,Spanish,F,F,T,N,F
8562782,Hispanic,H,F,T,Spanish,F,F,T,N,F
8562791,Hispanic,H,M,T,Spanish,F,F,T,N,F
8562845,Hispanic,H,M,T,Spanish,F,F,T,N,F
8562872,Hispanic,H,M,T,Spanish,F,F,T,N,F
8562935,Hispanic,H,F,T,Spanish,F,F,T,N,F
8563004,Hispanic,H,M,T,Spanish,F,F,T,N,F
8563034,Hispanic,H,F,T,Spanish,F,T,T,N,F
8563076,Hispanic,H,M,T,Spanish,F,T,T,N,F
8563085,Hispanic,H,M,T,Spanish,F,T,T,N,F
8563103,Hispanic,H,M,T,Spanish,T,F,T,N,T
8563112,Hispanic,H,M,T,Spanish,F,T,T,N,F
8563133,White,N,M,F,English,F,T,T,N,F
8563139,Hispanic,H,M,T,Spanish,F,F,T,N,F
8563151,Hispanic,H,M,T,Spanish,F,F,T,N,F
8563166,Hispanic,H,M,T,Spanish,T,F,T,N,F
8563196,Hispanic,H,M,T,Spanish,F,T,T,N,F
8563241,Black or African American,N,M,F,English,F,F,T,N,F
8563259,Black or African American,N,M,F,English,F,F,T,N,F
8563469,Hispanic,H,M,T,Spanish,F,F,T,N,F
8563520,Hispanic,H,F,T,Spanish,F,T,T,N,F
8563535,Hispanic,H,M,F,Spanish,F,F,T,N,F
8563544,Hispanic,H,F,F,English,F,F,T,N,F
8563559,Hispanic,H,M,T,Spanish,F,F,T,N,F
8563574,Hispanic,H,M,T,Spanish,T,F,T,N,F
8563727,Hispanic,H,F,T,Spanish,F,F,T,N,F
8563733,Hispanic,H,M,T,Spanish,F,F,T,N,F
8563772,Hispanic,H,M,T,Spanish,F,F,T,N,F
8563793,Hispanic,H,M,F,Spanish,F,F,T,N,F
8563805,Hispanic,H,M,T,Spanish,F,T,T,N,F
8563826,Hispanic,H,M,T,Spanish,F,F,T,N,F
8563853,Hispanic,H,F,T,Spanish,F,F,T,N,F
8563865,Hispanic,H,M,T,Spanish,F,F,T,N,F
8563940,Hispanic,H,M,T,Spanish,T,F,T,N,F
8564033,Hispanic,H,M,F,Spanish,F,F,T,N,T
8564042,Hispanic,H,F,T,Spanish,F,T,T,N,F
8564117,Hispanic,H,M,T,Spanish,F,T,T,N,F
8564396,Hispanic,H,F,T,Spanish,F,F,T,N,F
8564465,White,N,F,F,English,T,F,F,N,F
8564474,White,N,M,F,English,T,F,F,N,F
8564501,Hispanic,H,M,T,Spanish,F,F,T,N,T
8564570,Hispanic,H,F,F,English,F,F,F,N,F
8564591,Hispanic,H,M,T,Spanish,F,F,T,N,T
8564630,Hispanic,H,F,T,Spanish,F,F,T,N,F
8564639,Black or African American,N,M,F,English,F,F,T,N,F
8564663,Hispanic,H,F,F,English,F,F,T,N,T
8564705,Hispanic,H,F,T,Spanish,F,F,T,N,F
8564753,Hispanic,H,F,T,Spanish,F,F,T,N,T
8565050,Black or African American,N,F,F,English,F,F,T,N,F
8565230,Hispanic,H,M,T,Spanish,F,F,F,N,F
8565248,Hispanic,H,M,F,English,T,F,T,N,F
8565671,Hispanic,H,F,T,Spanish,F,T,T,N,F
8565908,Hispanic,H,M,T,Spanish,T,F,T,N,F
8566202,Hispanic,H,M,T,Spanish,F,F,T,N,F
8566232,Hispanic,H,M,T,Spanish,F,F,T,N,T
8566253,Hispanic,H,M,T,Spanish,F,T,T,N,F
8566283,Hispanic,H,M,T,Spanish,F,F,T,N,F
8566292,Black or African American,N,F,F,English,F,T,T,N,F
8566301,Hispanic,H,M,T,Spanish,F,T,F,N,F
8566397,Hispanic,H,M,F,English,F,F,T,N,T
8566463,Hispanic,H,M,T,Spanish,F,F,T,N,F
8566508,Asian,N,M,T,Tagalog,T,F,F,N,F
8566532,Hispanic,H,F,F,Spanish,T,F,T,N,F
8566556,Hispanic,H,M,T,Spanish,F,F,T,N,T
8566586,Hispanic,H,M,T,Spanish,T,F,T,N,F
8566634,Hispanic,H,F,F,English,T,F,T,N,F
8566670,Hispanic,H,F,T,Spanish,F,F,T,N,F
8566679,Hispanic,H,M,T,English,F,F,F,N,F
8566718,Hispanic,H,M,T,Spanish,F,F,T,N,F
8566859,Hispanic,H,F,T,Spanish,F,T,T,N,F
8566874,Hispanic,H,M,T,Spanish,F,T,T,N,F
8566886,Hispanic,H,F,T,Spanish,F,F,T,N,F
8566889,Hispanic,H,F,T,Spanish,F,F,T,N,F
8566934,Hispanic,H,F,T,Spanish,F,F,T,N,F
8566940,Hispanic,H,M,F,Spanish,F,T,T,N,F
8566967,Hispanic,H,F,T,Spanish,F,F,T,N,F
8566982,Hispanic,H,M,T,Spanish,F,F,T,N,F
8566985,Hispanic,H,M,T,Spanish,T,F,T,N,F
8567000,Hispanic,H,M,T,Spanish,F,F,T,N,F
8567021,Hispanic,H,F,T,Spanish,F,T,T,N,F
8567033,Hispanic,H,M,T,Spanish,F,T,T,N,F
8567072,Hispanic,H,F,T,Spanish,F,T,T,N,F
8567132,Hispanic,H,F,F,English,F,T,T,N,F
8567138,Hispanic,H,M,T,Spanish,F,T,T,N,F
8567150,Hispanic,H,M,T,Spanish,F,F,T,N,F
8567156,Hispanic,H,F,T,English,F,F,F,N,F
8567165,Hispanic,H,F,T,Spanish,F,T,T,N,F
8567174,Hispanic,H,F,T,Spanish,F,F,T,N,F
8567240,Hispanic,H,F,T,Spanish,F,F,T,N,F
8567255,Black or African American,N,M,F,English,F,F,T,N,F
8567261,Hispanic,H,F,T,Spanish,F,T,T,N,F
8567270,Hispanic,H,M,T,Spanish,F,F,T,N,F
8567273,Hispanic,H,F,T,Spanish,F,F,T,N,F
8567285,Hispanic,H,F,T,Spanish,T,F,T,N,F
8567294,Hispanic,H,M,T,Spanish,F,F,T,N,F
8567312,Hispanic,H,M,T,Spanish,F,F,T,N,F
8567321,Hispanic,H,F,F,English,F,F,T,N,F
8567339,Hispanic,H,F,T,English,T,F,T,N,F
8567477,Hispanic,H,F,T,Spanish,F,F,T,N,F
8567522,Hispanic,H,M,F,English,F,F,T,N,F
8567525,Hispanic,H,F,T,Spanish,F,T,T,N,F
8567528,Hispanic,H,M,T,Spanish,F,T,T,N,F
8567558,Hispanic,H,M,T,Spanish,F,F,T,N,F
8567576,Hispanic,H,M,F,Spanish,F,T,T,N,F
8567585,Hispanic,H,M,T,Spanish,F,F,T,N,F
8567588,Hispanic,H,M,T,Spanish,F,F,T,N,F
8567615,Hispanic,H,F,T,Spanish,F,F,F,N,F
8567639,Hispanic,H,F,T,Spanish,F,F,T,N,F
8567648,Hispanic,H,M,T,Spanish,F,F,T,N,F
8567675,Hispanic,H,M,T,Spanish,T,F,T,N,F
8567690,Hispanic,H,F,T,Spanish,F,F,T,N,F
8567699,Hispanic,H,F,F,Spanish,F,F,T,N,F
8567708,Hispanic,H,M,T,Spanish,F,F,T,N,F
8567714,Hispanic,H,M,T,Spanish,F,T,T,N,F
8567717,Hispanic,H,M,T,Spanish,F,T,T,N,F
8567720,Hispanic,H,F,T,Spanish,F,F,T,N,F
8567723,Hispanic,H,M,T,Spanish,F,F,T,N,F
8567741,Hispanic,H,M,T,Spanish,F,F,T,N,F
8567768,Hispanic,H,M,T,Spanish,F,F,T,N,F
8567795,Hispanic,H,M,T,Spanish,F,F,T,N,F
8567828,Hispanic,H,F,T,Spanish,F,F,T,N,F
8567831,Hispanic,H,M,T,Spanish,F,F,T,N,F
8567885,Hispanic,H,M,T,Spanish,F,F,T,N,F
8567924,Hispanic,H,F,T,Spanish,F,F,T,N,F
8567933,Hispanic,H,F,T,Spanish,T,F,T,N,T
8567945,Hispanic,H,M,T,Spanish,F,F,T,N,F
8567951,Black or African American,N,M,F,English,F,F,T,N,F
8567963,Black or African American,N,F,F,English,F,F,T,N,F
8567966,Hispanic,H,M,F,English,F,F,T,N,F
8568074,Hispanic,H,M,T,Spanish,F,T,T,N,F
8568095,Hispanic,H,M,T,Spanish,F,F,T,N,F
8568155,Hispanic,H,M,T,Spanish,F,T,T,N,F
8568218,Hispanic,H,M,T,English,T,F,T,N,F
8568278,Hispanic,H,M,T,Spanish,F,F,T,N,F
8568332,Hispanic,H,F,T,Spanish,F,T,T,N,F
8568401,Hispanic,H,F,F,English,F,T,T,N,F
8568440,Hispanic,H,F,T,Spanish,F,F,T,N,F
8568449,Hispanic,H,F,T,Spanish,F,T,T,N,F
8568479,Hispanic,H,M,T,Spanish,F,F,T,N,F
8568482,Hispanic,H,F,T,Spanish,F,T,T,N,F
8568494,Hispanic,H,M,T,Spanish,F,T,T,N,F
8568503,Hispanic,H,F,T,Spanish,F,T,T,N,F
8568518,Hispanic,H,M,T,Spanish,F,F,T,N,F
8568686,Hispanic,H,M,F,English,F,F,T,N,T
8568872,Hispanic,H,M,T,Spanish,F,F,T,N,F
8568890,Hispanic,H,F,T,Spanish,F,F,T,N,F
8568905,Hispanic,H,M,T,Spanish,F,F,T,N,F
8568989,Hispanic,H,M,T,Spanish,F,F,T,N,F
8569019,Black or African American,N,M,F,English,F,F,T,N,T
8569049,Hispanic,H,F,T,Spanish,F,T,T,N,F
8569076,Hispanic,H,M,T,Spanish,F,F,T,N,F
8569082,Hispanic,H,F,F,English,F,F,T,N,F
8569091,Hispanic,H,F,T,Spanish,F,F,T,N,F
8569124,Hispanic,H,M,T,Spanish,F,F,T,N,F
8569127,M Multi-Racial,N,F,T,Spanish,F,F,T,N,F
8569136,Black or African American,N,M,F,English,F,F,T,N,F
8569157,Hispanic,H,F,T,Spanish,F,F,T,N,F
8569160,Hispanic,H,F,T,Spanish,F,F,T,N,F
8569190,Hispanic,H,F,T,Spanish,F,F,T,N,F
8569199,Hispanic,H,M,F,English,F,F,T,N,F
8569211,Hispanic,H,F,T,Spanish,F,F,T,N,T
8569226,Hispanic,H,M,T,Spanish,F,F,F,N,F
8569238,Hispanic,H,F,T,Spanish,F,T,T,N,F
8569250,Hispanic,H,M,F,English,F,F,T,N,F
8569265,Hispanic,H,M,T,Spanish,F,T,T,N,F
8569274,Hispanic,H,M,T,Spanish,F,F,T,N,F
8569289,Hispanic,H,F,F,English,F,F,T,N,F
8569331,Hispanic,H,M,T,Spanish,F,F,T,N,F
8569421,Hispanic,H,M,T,Spanish,F,F,T,N,F
8569448,Hispanic,H,M,F,English,T,F,T,N,F
8569565,Hispanic,H,M,T,Spanish,F,F,T,N,T
8569640,Hispanic,H,M,T,Spanish,F,F,T,N,F
8569655,Hispanic,H,M,F,Spanish,F,F,T,N,F
8570012,Black or African American,N,M,F,English,T,F,T,N,F
8570045,Hispanic,H,F,T,Spanish,F,F,T,N,F
8570075,Hispanic,H,F,F,English,F,T,T,N,F
8570093,Hispanic,H,F,T,Spanish,F,F,T,N,F
8570207,Hispanic,H,M,T,Spanish,F,F,T,N,F
8570213,Hispanic,H,M,T,Spanish,F,F,T,N,T
8570237,Hispanic,H,M,T,Spanish,F,F,T,N,F
8570243,Hispanic,H,M,T,Spanish,F,F,T,N,F
8570255,Hispanic,H,F,T,Spanish,F,F,T,N,F
8570258,Hispanic,H,F,T,Spanish,F,F,T,N,F
8570273,Hispanic,H,F,T,Spanish,F,F,T,N,F
8570282,Hispanic,H,F,T,Spanish,F,T,T,N,F
8570288,Hispanic,H,F,T,Spanish,F,F,T,N,F
8570294,Hispanic,H,F,T,Spanish,F,T,F,N,F
8570300,Hispanic,H,M,T,Spanish,F,T,T,N,F
8570327,Hispanic,H,F,T,Spanish,T,F,T,N,F
8570333,Black or African American,N,M,F,English,T,F,T,N,F
8570348,Hispanic,H,M,T,Spanish,F,T,F,N,F
